Date : 2021-10-05 15:02:46
Directory : /home/christian/src/micro
Total : 549 files,  16332 codes, 643 comments, 3949 blanks, all 20924 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| kernel/dev/fat                                                                |          3 |        585 |         20 |        169 |        774 |
| kernel/dev/ps2kb                                                              |          2 |         54 |          1 |         16 |         71 |
| kernel/dev/test                                                               |          2 |         19 |          0 |          4 |         23 |
| kernel/include                                                                |         44 |      1,203 |         23 |        277 |      1,503 |
| kernel/include/micro                                                          |         30 |        851 |         16 |        224 |      1,091 |
| kernel/include/uapi                                                           |         14 |        352 |          7 |         53 |        412 |
| kernel/include/uapi/micro                                                     |         14 |        352 |          7 |         53 |        412 |
| kernel/kern                                                                   |         45 |      3,721 |        185 |      1,021 |      4,927 |
| kernel/kern/debug                                                             |          3 |        265 |         11 |         83 |        359 |
| kernel/kern/fs                                                                |         11 |        889 |         41 |        293 |      1,223 |
| kernel/kern/mm                                                                |          1 |         48 |          5 |         14 |         67 |
| kernel/kern/net                                                               |          1 |          5 |          0 |          1 |          6 |
| kernel/tools                                                                  |          1 |         34 |          3 |         11 |         48 |
| share                                                                         |          1 |          5 |          0 |          3 |          8 |
| toolchain                                                                     |          3 |        249 |          6 |          9 |        264 |
| usr                                                                           |        375 |      6,347 |        254 |      1,338 |      7,939 |
| usr/apps                                                                      |         44 |      1,703 |         73 |        385 |      2,161 |
| usr/apps/binutils                                                             |          2 |          5 |          0 |          1 |          6 |
| usr/apps/binutils/ld                                                          |          1 |          3 |          0 |          1 |          4 |
| usr/apps/coreutils                                                            |         28 |        958 |         60 |        207 |      1,225 |
| usr/apps/db                                                                   |          2 |         97 |          0 |         19 |        116 |
| usr/apps/ed                                                                   |          2 |        102 |          0 |         33 |        135 |
| usr/apps/sh                                                                   |          3 |        162 |          3 |         38 |        203 |
| usr/apps/term                                                                 |          2 |        281 |         10 |         65 |        356 |
| usr/apps/test                                                                 |          2 |         25 |          0 |          9 |         34 |
| usr/apps/vgaterm                                                              |          2 |         71 |          0 |         13 |         84 |
| usr/libs                                                                      |        326 |      4,578 |        180 |        940 |      5,698 |
| usr/libs/libc                                                                 |        325 |      4,576 |        180 |        940 |      5,696 |
| usr/libs/libc/arch                                                            |          2 |         25 |          4 |          3 |         32 |
| usr/libs/libc/arch/x86_64                                                     |          2 |         25 |          4 |          3 |         32 |
| usr/libs/libc/assert                                                          |          1 |          8 |          0 |          1 |          9 |
| usr/libs/libc/ctype                                                           |         13 |         77 |          0 |         13 |         90 |
| usr/libs/libc/elf                                                             |          3 |        152 |          5 |         52 |        209 |
| usr/libs/libc/include                                                         |         21 |        453 |          5 |        128 |        586 |
| usr/libs/libc/internal                                                        |          5 |         60 |          4 |         21 |         85 |
| usr/libs/libc/internal/generic                                                |          3 |         30 |          2 |         13 |         45 |
| usr/libs/libc/internal/include                                                |          2 |         30 |          2 |          8 |         40 |
| usr/libs/libc/internal/include/libc                                           |          2 |         30 |          2 |          8 |         40 |
| usr/libs/libc/locale                                                          |          3 |         94 |          0 |          6 |        100 |
| usr/libs/libc/malloc                                                          |          1 |        116 |         12 |         30 |        158 |
| usr/libs/libc/math                                                            |         19 |        131 |          1 |         20 |        152 |
| usr/libs/libc/misc                                                            |          1 |          2 |          0 |          1 |          3 |
| usr/libs/libc/posix                                                           |         49 |        996 |         19 |        213 |      1,228 |
| usr/libs/libc/posix/generic                                                   |         17 |        226 |          7 |         51 |        284 |
| usr/libs/libc/posix/include                                                   |         32 |        770 |         12 |        162 |        944 |
| usr/libs/libc/posix/include/bits                                              |          1 |          7 |          0 |          2 |          9 |
| usr/libs/libc/posix/include/sys                                               |         17 |        293 |          2 |         57 |        352 |
| usr/libs/libc/regex                                                           |          4 |         29 |          0 |          4 |         33 |
| usr/libs/libc/setjmp                                                          |          2 |         10 |          0 |          2 |         12 |
| usr/libs/libc/signal                                                          |          5 |         47 |          0 |          8 |         55 |
| usr/libs/libc/stdio                                                           |         49 |        583 |         84 |        129 |        796 |
| usr/libs/libc/stdlib                                                          |         23 |        338 |         22 |         79 |        439 |
| usr/libs/libc/string                                                          |         28 |        377 |          0 |         79 |        456 |
| usr/libs/libc/sysdeps                                                         |         82 |        568 |         19 |         96 |        683 |
| usr/libs/libc/sysdeps/micro                                                   |         82 |        568 |         19 |         96 |        683 |
| usr/libs/libc/sysdeps/micro/generic                                           |         82 |        568 |         19 |         96 |        683 |
| usr/libs/libc/tests                                                           |          1 |         13 |          0 |          4 |         17 |
| usr/libs/libc/time                                                            |         11 |        189 |          5 |         36 |        230 |
| usr/srv                                                                       |          4 |         64 |          1 |         13 |         78 |
| usr/srv/init                                                                  |          3 |         62 |          1 |         13 |         76 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                      | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/christian/src/micro/Makefile                                            | Makefile         |          2 |          0 |          1 |          3 |
| /home/christian/src/micro/README.md                                           | Markdown         |         33 |          0 |          7 |         40 |
| /home/christian/src/micro/boot/Makefile                                       | Makefile         |         11 |          0 |          2 |         13 |
| /home/christian/src/micro/boot/stage1/Makefile                                | Makefile         |         15 |          0 |          5 |         20 |
| /home/christian/src/micro/boot/stage1/bootsect.S                              | GAS/AT&T x86/x64 |        107 |          7 |         36 |        150 |
| /home/christian/src/micro/boot/stage1/linker.ld                               | LinkerScript     |         11 |          0 |          1 |         12 |
| /home/christian/src/micro/boot/stage2/Makefile                                | Makefile         |         16 |          0 |          7 |         23 |
| /home/christian/src/micro/boot/stage2/entry.c                                 | C                |          5 |          0 |          0 |          5 |
| /home/christian/src/micro/boot/stage2/linker.ld                               | LinkerScript     |         10 |          0 |          1 |         11 |
| /home/christian/src/micro/boot/tools/Makefile                                 | Makefile         |          7 |          0 |          2 |          9 |
| /home/christian/src/micro/boot/tools/mkimage.c                                | C                |         29 |          2 |         11 |         42 |
| /home/christian/src/micro/build/build-emu-disk.sh                             | Shell Script     |          8 |          2 |          1 |         11 |
| /home/christian/src/micro/build/build-everything.sh                           | Shell Script     |         10 |          0 |          1 |         11 |
| /home/christian/src/micro/build/build-hdd.sh                                  | Shell Script     |         19 |          4 |         10 |         33 |
| /home/christian/src/micro/build/build-initrd.sh                               | Shell Script     |          1 |          1 |          1 |          3 |
| /home/christian/src/micro/build/build-limine.sh                               | Shell Script     |         25 |          0 |          3 |         28 |
| /home/christian/src/micro/build/burn-usb.sh                                   | Shell Script     |          1 |          0 |          1 |          2 |
| /home/christian/src/micro/build/configure.sh                                  | Shell Script     |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/build/imgmnt/limine.cfg                             | Properties       |          7 |          0 |          2 |          9 |
| /home/christian/src/micro/build/limine.cfg                                    | Properties       |         15 |          0 |          1 |         16 |
| /home/christian/src/micro/build/mkcross.sh                                    | Shell Script     |          1 |          0 |          0 |          1 |
| /home/christian/src/micro/build/uefi-hdd.sh                                   | Shell Script     |         13 |          0 |          0 |         13 |
| /home/christian/src/micro/build/uefi.sh                                       | Shell Script     |         13 |          0 |          0 |         13 |
| /home/christian/src/micro/kernel/Makefile                                     | Makefile         |         30 |          0 |         12 |         42 |
| /home/christian/src/micro/kernel/arch/amd64/amd64.mk                          | Makefile         |         21 |          0 |          2 |         23 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/amd64.S                     | GAS/AT&T x86/x64 |         19 |          9 |          8 |         36 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/ap_start.S                  | GAS/AT&T x86/x64 |         80 |          5 |         29 |        114 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/cmos.c                      | C                |        113 |          4 |         35 |        152 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/context.S                   | GAS/AT&T x86/x64 |         30 |          5 |          8 |         43 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/cpu.c                       | C                |         43 |          1 |         11 |         55 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/entry.c                     | C                |        133 |          5 |         29 |        167 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/except.c                    | C                |        216 |          8 |         39 |        263 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/fpu.c                       | C                |          8 |          1 |          2 |         11 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/gdt.c                       | C                |         47 |          0 |         12 |         59 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/idt.c                       | C                |        119 |          1 |         15 |        135 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/intr_asm.S                  | GAS/AT&T x86/x64 |        131 |          3 |         19 |        153 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/ioapic.c                    | C                |         61 |          2 |         15 |         78 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/lapic.c                     | C                |         70 |          4 |         16 |         90 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/main.c                      | C                |         65 |         10 |         18 |         93 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/mmu.c                       | C                |        452 |         21 |        123 |        596 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/panic.c                     | C                |         13 |          0 |          2 |         15 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/pic.c                       | C                |         37 |          0 |         13 |         50 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/simd.S                      | GAS/AT&T x86/x64 |         23 |          0 |          5 |         28 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/smp.c                       | C                |         77 |          2 |         25 |        104 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/timer.c                     | C                |         51 |          0 |         15 |         66 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/boot.h               | C++              |        122 |          0 |         31 |        153 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/cmos.h               | C++              |         14 |          0 |          3 |         17 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/cpu.h                | C++              |         37 |          1 |         11 |         49 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/cpu_func.h           | C++              |         83 |          2 |         20 |        105 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/descs.h              | C++              |         72 |          7 |         12 |         91 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/except.h             | C++              |          5 |          0 |          3 |          8 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/fpu.h                | C++              |          4 |          0 |          3 |          7 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/intr_stubs.h         | C++              |         52 |          1 |          4 |         57 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/ioapic.h             | C++              |          4 |          0 |          3 |          7 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/lapic.h              | C++              |         22 |          1 |          9 |         32 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/mmu.h                | C++              |         64 |          2 |         24 |         90 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/mmu_defs.h           | C++              |         21 |          0 |          8 |         29 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/panic.h              | C++              |          2 |          0 |          1 |          3 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/pic.h                | C++              |          3 |          0 |          2 |          5 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/pio.h                | C++              |         33 |          0 |          7 |         40 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/reg.h                | C++              |         25 |          0 |          2 |         27 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/smp.h                | C++              |          2 |          0 |          2 |          4 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/timer.h              | C++              |          7 |          0 |          4 |         11 |
| /home/christian/src/micro/kernel/dev/Makefile                                 | Makefile         |          2 |          0 |          0 |          2 |
| /home/christian/src/micro/kernel/dev/ahci/Makefile                            | Makefile         |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/dev/ahci/ahci.c                              | C                |        234 |          3 |         73 |        310 |
| /home/christian/src/micro/kernel/dev/ahci/ahci_defs.h                         | C++              |        218 |          5 |         64 |        287 |
| /home/christian/src/micro/kernel/dev/ext2/Makefile                            | Makefile         |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/dev/ext2/ext2.c                              | C                |        653 |         31 |        223 |        907 |
| /home/christian/src/micro/kernel/dev/ext2/ext2.h                              | C++              |        148 |          0 |         21 |        169 |
| /home/christian/src/micro/kernel/dev/fat/Makefile                             | Makefile         |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/dev/fat/fat.c                                | C                |        488 |         17 |        154 |        659 |
| /home/christian/src/micro/kernel/dev/fat/fat.h                                | C++              |         94 |          3 |         14 |        111 |
| /home/christian/src/micro/kernel/dev/linker.ld                                | LinkerScript     |         21 |          0 |          1 |         22 |
| /home/christian/src/micro/kernel/dev/module.mk                                | Makefile         |         18 |          1 |          7 |         26 |
| /home/christian/src/micro/kernel/dev/ps2kb/Makefile                           | Makefile         |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/dev/ps2kb/ps2kb.c                            | C                |         51 |          1 |         15 |         67 |
| /home/christian/src/micro/kernel/dev/test/Makefile                            | Makefile         |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/dev/test/test.c                              | C                |         16 |          0 |          3 |         19 |
| /home/christian/src/micro/kernel/include/micro/acpi.h                         | C++              |          4 |          0 |          2 |          6 |
| /home/christian/src/micro/kernel/include/micro/acpi_defs.h                    | C++              |         83 |          1 |         13 |         97 |
| /home/christian/src/micro/kernel/include/micro/binfmt.h                       | C++              |          9 |          0 |          3 |         12 |
| /home/christian/src/micro/kernel/include/micro/debug.h                        | C++              |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/include/micro/dev.h                          | C++              |          2 |          0 |          1 |          3 |
| /home/christian/src/micro/kernel/include/micro/devfs.h                        | C++              |          7 |          0 |          4 |         11 |
| /home/christian/src/micro/kernel/include/micro/elf.h                          | C++              |         97 |          4 |         19 |        120 |
| /home/christian/src/micro/kernel/include/micro/fbdev.h                        | C++              |         15 |          0 |          5 |         20 |
| /home/christian/src/micro/kernel/include/micro/heap.h                         | C++              |          7 |          0 |          2 |          9 |
| /home/christian/src/micro/kernel/include/micro/init.h                         | C++              |          8 |          0 |          3 |         11 |
| /home/christian/src/micro/kernel/include/micro/ksym.h                         | C++              |          3 |          0 |          2 |          5 |
| /home/christian/src/micro/kernel/include/micro/list.h                         | C++              |         25 |          0 |          5 |         30 |
| /home/christian/src/micro/kernel/include/micro/lock.h                         | C++              |          8 |          0 |          6 |         14 |
| /home/christian/src/micro/kernel/include/micro/module.h                       | C++              |         17 |          0 |          5 |         22 |
| /home/christian/src/micro/kernel/include/micro/pci.h                          | C++              |         21 |          0 |          6 |         27 |
| /home/christian/src/micro/kernel/include/micro/pci_ids.h                      | C++              |          4 |          0 |          3 |          7 |
| /home/christian/src/micro/kernel/include/micro/platform.h                     | C++              |          6 |          0 |          1 |          7 |
| /home/christian/src/micro/kernel/include/micro/procfs.h                       | C++              |          2 |          0 |          1 |          3 |
| /home/christian/src/micro/kernel/include/micro/ptrace.h                       | C++              |          9 |          0 |          1 |         10 |
| /home/christian/src/micro/kernel/include/micro/ringbuf.h                      | C++              |         15 |          0 |          4 |         19 |
| /home/christian/src/micro/kernel/include/micro/sched.h                        | C++              |         23 |          1 |          7 |         31 |
| /home/christian/src/micro/kernel/include/micro/stdlib.h                       | C++              |        119 |          3 |         29 |        151 |
| /home/christian/src/micro/kernel/include/micro/sys.h                          | C++              |         90 |          2 |          9 |        101 |
| /home/christian/src/micro/kernel/include/micro/task.h                         | C++              |         45 |          2 |         25 |         72 |
| /home/christian/src/micro/kernel/include/micro/thread.h                       | C++              |         25 |          0 |          7 |         32 |
| /home/christian/src/micro/kernel/include/micro/tree.h                         | C++              |          9 |          0 |          3 |         12 |
| /home/christian/src/micro/kernel/include/micro/try.h                          | C++              |         21 |          2 |          3 |         26 |
| /home/christian/src/micro/kernel/include/micro/tty.h                          | C++              |         12 |          0 |          6 |         18 |
| /home/christian/src/micro/kernel/include/micro/vfs.h                          | C++              |        137 |          1 |         45 |        183 |
| /home/christian/src/micro/kernel/include/micro/vga.h                          | C++              |         25 |          0 |          3 |         28 |
| /home/christian/src/micro/kernel/include/uapi/micro/errno.h                   | C++              |         34 |          0 |          1 |         35 |
| /home/christian/src/micro/kernel/include/uapi/micro/fb.h                      | C++              |          8 |          0 |          2 |         10 |
| /home/christian/src/micro/kernel/include/uapi/micro/fcntl.h                   | C++              |         25 |          0 |          5 |         30 |
| /home/christian/src/micro/kernel/include/uapi/micro/fs.h                      | C++              |         16 |          0 |          3 |         19 |
| /home/christian/src/micro/kernel/include/uapi/micro/ioctls.h                  | C++              |          7 |          0 |          1 |          8 |
| /home/christian/src/micro/kernel/include/uapi/micro/mman.h                    | C++              |          9 |          0 |          3 |         12 |
| /home/christian/src/micro/kernel/include/uapi/micro/signal.h                  | C++              |         49 |          1 |          8 |         58 |
| /home/christian/src/micro/kernel/include/uapi/micro/stat.h                    | C++              |         18 |          0 |          2 |         20 |
| /home/christian/src/micro/kernel/include/uapi/micro/termios.h                 | C++              |         82 |          6 |          9 |         97 |
| /home/christian/src/micro/kernel/include/uapi/micro/time.h                    | C++              |         18 |          0 |          4 |         22 |
| /home/christian/src/micro/kernel/include/uapi/micro/types.h                   | C++              |         42 |          0 |         11 |         53 |
| /home/christian/src/micro/kernel/include/uapi/micro/user.h                    | C++              |         30 |          0 |          1 |         31 |
| /home/christian/src/micro/kernel/include/uapi/micro/utsname.h                 | C++              |         11 |          0 |          2 |         13 |
| /home/christian/src/micro/kernel/include/uapi/micro/wait.h                    | C++              |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/kern/acpi.c                                  | C                |         41 |          0 |          7 |         48 |
| /home/christian/src/micro/kernel/kern/binfmt.c                                | C                |         96 |          9 |         32 |        137 |
| /home/christian/src/micro/kernel/kern/debug/kasan.c                           | C                |         43 |          0 |         28 |         71 |
| /home/christian/src/micro/kernel/kern/debug/serial.c                          | C                |         58 |         10 |         19 |         87 |
| /home/christian/src/micro/kernel/kern/debug/ubsan.c                           | C                |        164 |          1 |         36 |        201 |
| /home/christian/src/micro/kernel/kern/dev.c                                   | C                |         17 |          0 |          3 |         20 |
| /home/christian/src/micro/kernel/kern/exec.c                                  | C                |         39 |          1 |          9 |         49 |
| /home/christian/src/micro/kernel/kern/exit.c                                  | C                |         98 |          6 |         26 |        130 |
| /home/christian/src/micro/kernel/kern/fbdev.c                                 | C                |         76 |          0 |         18 |         94 |
| /home/christian/src/micro/kernel/kern/fork.c                                  | C                |         14 |          0 |          6 |         20 |
| /home/christian/src/micro/kernel/kern/fs/devfs.c                              | C                |         65 |          1 |         20 |         86 |
| /home/christian/src/micro/kernel/kern/fs/fcntl.c                              | C                |         42 |          1 |         11 |         54 |
| /home/christian/src/micro/kernel/kern/fs/ioctl.c                              | C                |         10 |          0 |          4 |         14 |
| /home/christian/src/micro/kernel/kern/fs/link.c                               | C                |         64 |          0 |         26 |         90 |
| /home/christian/src/micro/kernel/kern/fs/mount.c                              | C                |         21 |          0 |          6 |         27 |
| /home/christian/src/micro/kernel/kern/fs/open.c                               | C                |        101 |          4 |         43 |        148 |
| /home/christian/src/micro/kernel/kern/fs/pipe.c                               | C                |        109 |          2 |         35 |        146 |
| /home/christian/src/micro/kernel/kern/fs/procfs.c                             | C                |          6 |          8 |          1 |         15 |
| /home/christian/src/micro/kernel/kern/fs/readdir.c                            | C                |         11 |          0 |          4 |         15 |
| /home/christian/src/micro/kernel/kern/fs/readwr.c                             | C                |         55 |          7 |         20 |         82 |
| /home/christian/src/micro/kernel/kern/fs/vfs.c                                | C                |        405 |         18 |        123 |        546 |
| /home/christian/src/micro/kernel/kern/heap.c                                  | C                |        120 |         11 |         28 |        159 |
| /home/christian/src/micro/kernel/kern/init.c                                  | C                |        154 |          5 |         48 |        207 |
| /home/christian/src/micro/kernel/kern/kern.mk                                 | Makefile         |         44 |          0 |          0 |         44 |
| /home/christian/src/micro/kernel/kern/ksym.c                                  | C                |         51 |          3 |          4 |         58 |
| /home/christian/src/micro/kernel/kern/list.c                                  | C                |        105 |         14 |         33 |        152 |
| /home/christian/src/micro/kernel/kern/mm/mmap.c                               | C                |         48 |          5 |         14 |         67 |
| /home/christian/src/micro/kernel/kern/module.c                                | C                |        128 |          9 |         33 |        170 |
| /home/christian/src/micro/kernel/kern/net/socket.c                            | C                |          5 |          0 |          1 |          6 |
| /home/christian/src/micro/kernel/kern/pci.c                                   | C                |        139 |          1 |         21 |        161 |
| /home/christian/src/micro/kernel/kern/ptrace.c                                | C                |         47 |          0 |         11 |         58 |
| /home/christian/src/micro/kernel/kern/reboot.c                                | C                |          7 |          0 |          1 |          8 |
| /home/christian/src/micro/kernel/kern/ringbuf.c                               | C                |         62 |          3 |         13 |         78 |
| /home/christian/src/micro/kernel/kern/sched.c                                 | C                |        119 |          1 |         29 |        149 |
| /home/christian/src/micro/kernel/kern/sem.c                                   | C                |         31 |          4 |          5 |         40 |
| /home/christian/src/micro/kernel/kern/signal.c                                | C                |         62 |          1 |         15 |         78 |
| /home/christian/src/micro/kernel/kern/stat.c                                  | C                |         59 |          0 |         16 |         75 |
| /home/christian/src/micro/kernel/kern/stdlib.c                                | C                |        140 |          0 |         41 |        181 |
| /home/christian/src/micro/kernel/kern/sys.c                                   | C                |        252 |          6 |         48 |        306 |
| /home/christian/src/micro/kernel/kern/task.c                                  | C                |        221 |         13 |         73 |        307 |
| /home/christian/src/micro/kernel/kern/thread.c                                | C                |        133 |          7 |         25 |        165 |
| /home/christian/src/micro/kernel/kern/time.c                                  | C                |         50 |          1 |         13 |         64 |
| /home/christian/src/micro/kernel/kern/tree.c                                  | C                |         14 |          0 |          3 |         17 |
| /home/christian/src/micro/kernel/kern/tty.c                                   | C                |        162 |         15 |         57 |        234 |
| /home/christian/src/micro/kernel/kern/vga.c                                   | C                |         33 |         18 |         12 |         63 |
| /home/christian/src/micro/kernel/kernel.ld                                    | LinkerScript     |         42 |          0 |         14 |         56 |
| /home/christian/src/micro/kernel/tools/mkinitrd.c                             | C                |         34 |          3 |         11 |         48 |
| /home/christian/src/micro/share/subdir.mk                                     | Makefile         |          5 |          0 |          3 |          8 |
| /home/christian/src/micro/toolchain/binutils.patch                            | Diff             |        133 |          2 |          3 |        138 |
| /home/christian/src/micro/toolchain/gcc.patch                                 | Diff             |        115 |          3 |          5 |        123 |
| /home/christian/src/micro/toolchain/toolchain.sh                              | Shell Script     |          1 |          1 |          1 |          3 |
| /home/christian/src/micro/usr/Makefile                                        | Makefile         |          2 |          0 |          0 |          2 |
| /home/christian/src/micro/usr/apps/Makefile                                   | Makefile         |          2 |          0 |          0 |          2 |
| /home/christian/src/micro/usr/apps/binutils/Makefile                          | Makefile         |          2 |          0 |          0 |          2 |
| /home/christian/src/micro/usr/apps/binutils/ld/main.c                         | C                |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/usr/apps/coreutils/Makefile                         | Makefile         |         43 |          0 |          7 |         50 |
| /home/christian/src/micro/usr/apps/coreutils/cat.c                            | C                |         29 |         21 |          9 |         59 |
| /home/christian/src/micro/usr/apps/coreutils/chmod.c                          | C                |         88 |          0 |         11 |         99 |
| /home/christian/src/micro/usr/apps/coreutils/chown.c                          | C                |         31 |          1 |          8 |         40 |
| /home/christian/src/micro/usr/apps/coreutils/date.c                           | C                |          7 |          0 |          3 |         10 |
| /home/christian/src/micro/usr/apps/coreutils/du.c                             | C                |         33 |          0 |          8 |         41 |
| /home/christian/src/micro/usr/apps/coreutils/echo.c                           | C                |          5 |          0 |          1 |          6 |
| /home/christian/src/micro/usr/apps/coreutils/grep.c                           | C                |         55 |          2 |         11 |         68 |
| /home/christian/src/micro/usr/apps/coreutils/hexdump.c                        | C                |         40 |          0 |         11 |         51 |
| /home/christian/src/micro/usr/apps/coreutils/id.c                             | C                |         57 |         33 |         24 |        114 |
| /home/christian/src/micro/usr/apps/coreutils/insmod.c                         | C                |         29 |          0 |          7 |         36 |
| /home/christian/src/micro/usr/apps/coreutils/linker.ld                        | LinkerScript     |         23 |          0 |          2 |         25 |
| /home/christian/src/micro/usr/apps/coreutils/ln.c                             | C                |         45 |          1 |         10 |         56 |
| /home/christian/src/micro/usr/apps/coreutils/ls.c                             | C                |        103 |          1 |         23 |        127 |
| /home/christian/src/micro/usr/apps/coreutils/mkdir.c                          | C                |         18 |          0 |          3 |         21 |
| /home/christian/src/micro/usr/apps/coreutils/mount.c                          | C                |         16 |          0 |          3 |         19 |
| /home/christian/src/micro/usr/apps/coreutils/mv.c                             | C                |         16 |          0 |          3 |         19 |
| /home/christian/src/micro/usr/apps/coreutils/pwd.c                            | C                |         13 |          0 |          2 |         15 |
| /home/christian/src/micro/usr/apps/coreutils/readlink.c                       | C                |         19 |          0 |          5 |         24 |
| /home/christian/src/micro/usr/apps/coreutils/rm.c                             | C                |         71 |          0 |         14 |         85 |
| /home/christian/src/micro/usr/apps/coreutils/rmdir.c                          | C                |         16 |          0 |          3 |         19 |
| /home/christian/src/micro/usr/apps/coreutils/rmmod.c                          | C                |         19 |          0 |          4 |         23 |
| /home/christian/src/micro/usr/apps/coreutils/stat.c                           | C                |         78 |          1 |         16 |         95 |
| /home/christian/src/micro/usr/apps/coreutils/tee.c                            | C                |         17 |          0 |          3 |         20 |
| /home/christian/src/micro/usr/apps/coreutils/touch.c                          | C                |         19 |          0 |          4 |         23 |
