Date : 2021-09-21 21:41:05
Directory : /home/christian/src/micro
Total : 384 files,  11996 codes, 490 comments, 2921 blanks, all 15407 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |        227 |      7,848 |        389 |      2,017 |     10,254 |
| C++              |         97 |      2,651 |         56 |        615 |      3,322 |
| Makefile         |         30 |        548 |          2 |        121 |        671 |
| GAS/AT&T x86/x64 |          7 |        403 |         30 |        106 |        539 |
| Diff             |          2 |        248 |          5 |          8 |        261 |
| LinkerScript     |          7 |        153 |          0 |         23 |        176 |
| Shell Script     |         10 |         85 |          8 |         18 |        111 |
| Markdown         |          2 |         38 |          0 |         10 |         48 |
| Properties       |          2 |         22 |          0 |          3 |         25 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |        384 |     11,996 |        490 |      2,921 |     15,407 |
| boot                                                                          |          9 |        211 |          9 |         65 |        285 |
| boot/stage1                                                                   |          3 |        133 |          7 |         42 |        182 |
| boot/stage2                                                                   |          3 |         31 |          0 |          8 |         39 |
| boot/tools                                                                    |          2 |         36 |          2 |         13 |         51 |
| build                                                                         |         11 |        106 |          7 |         20 |        133 |
| build/imgmnt                                                                  |          1 |          7 |          0 |          2 |          9 |
| kernel                                                                        |        136 |      7,837 |        307 |      2,036 |     10,180 |
| kernel/arch                                                                   |         39 |      2,190 |         76 |        536 |      2,802 |
| kernel/arch/amd64                                                             |         39 |      2,190 |         76 |        536 |      2,802 |
| kernel/arch/amd64/amd64                                                       |         20 |      1,630 |         63 |        396 |      2,089 |
| kernel/arch/amd64/include                                                     |         18 |        539 |         13 |        138 |        690 |
| kernel/arch/amd64/include/arch                                                |         18 |        539 |         13 |        138 |        690 |
| kernel/dev                                                                    |         14 |      1,727 |         81 |        488 |      2,296 |
| kernel/dev/ahci                                                               |          3 |        474 |          9 |        140 |        623 |
| kernel/dev/ext2                                                               |          3 |        617 |         53 |        171 |        841 |
| kernel/dev/fat                                                                |          3 |        580 |         19 |        166 |        765 |
| kernel/dev/test                                                               |          2 |         19 |          0 |          4 |         23 |
| kernel/include                                                                |         41 |        948 |         20 |        215 |      1,183 |
| kernel/include/micro                                                          |         30 |        724 |         13 |        188 |        925 |
| kernel/include/uapi                                                           |         11 |        224 |          7 |         27 |        258 |
| kernel/include/uapi/micro                                                     |         11 |        224 |          7 |         27 |        258 |
| kernel/kern                                                                   |         39 |      2,866 |        127 |        760 |      3,753 |
| kernel/kern/debug                                                             |          3 |        259 |         13 |         83 |        355 |
| kernel/kern/fs                                                                |          8 |        553 |         27 |        162 |        742 |
| kernel/kern/mm                                                                |          1 |         56 |          5 |         14 |         75 |
| kernel/tools                                                                  |          1 |         34 |          3 |         11 |         48 |
| share                                                                         |          1 |          5 |          0 |          3 |          8 |
| toolchain                                                                     |          3 |        249 |          6 |          9 |        264 |
| usr                                                                           |        222 |      3,558 |        161 |        780 |      4,499 |
| usr/apps                                                                      |         29 |        885 |         23 |        212 |      1,120 |
| usr/apps/binutils                                                             |          2 |          5 |          0 |          1 |          6 |
| usr/apps/binutils/ld                                                          |          1 |          3 |          0 |          1 |          4 |
| usr/apps/coreutils                                                            |         13 |        271 |         21 |         60 |        352 |
| usr/apps/db                                                                   |          2 |         51 |          0 |         15 |         66 |
| usr/apps/ed                                                                   |          2 |        102 |          0 |         33 |        135 |
| usr/apps/sh                                                                   |          3 |        146 |          1 |         30 |        177 |
| usr/apps/term                                                                 |          2 |        212 |          1 |         51 |        264 |
| usr/apps/test                                                                 |          2 |         25 |          0 |          9 |         34 |
| usr/apps/vgaterm                                                              |          2 |         71 |          0 |         13 |         84 |
| usr/libs                                                                      |        188 |      2,611 |        136 |        556 |      3,303 |
| usr/libs/libc                                                                 |        187 |      2,609 |        136 |        556 |      3,301 |
| usr/libs/libc/assert                                                          |          1 |          8 |          0 |          1 |          9 |
| usr/libs/libc/ctype                                                           |         10 |         62 |          0 |         10 |         72 |
| usr/libs/libc/elf                                                             |          2 |         32 |          1 |         14 |         47 |
| usr/libs/libc/include                                                         |         16 |        300 |          3 |         89 |        392 |
| usr/libs/libc/internal                                                        |          4 |         51 |          3 |         19 |         73 |
| usr/libs/libc/internal/generic                                                |          2 |         21 |          1 |         11 |         33 |
| usr/libs/libc/internal/include                                                |          2 |         30 |          2 |          8 |         40 |
| usr/libs/libc/internal/include/libc                                           |          2 |         30 |          2 |          8 |         40 |
| usr/libs/libc/locale                                                          |          1 |         62 |          0 |          2 |         64 |
| usr/libs/libc/malloc                                                          |          1 |        124 |          9 |         29 |        162 |
| usr/libs/libc/math                                                            |          7 |         41 |          0 |          8 |         49 |
| usr/libs/libc/misc                                                            |          1 |          2 |          0 |          1 |          3 |
| usr/libs/libc/posix                                                           |         23 |        453 |         15 |         81 |        549 |
| usr/libs/libc/posix/generic                                                   |          6 |         65 |          5 |         15 |         85 |
| usr/libs/libc/posix/include                                                   |         17 |        388 |         10 |         66 |        464 |
| usr/libs/libc/posix/include/sys                                               |         10 |        157 |          0 |         28 |        185 |
| usr/libs/libc/setjmp                                                          |          2 |          9 |          0 |          3 |         12 |
| usr/libs/libc/stdio                                                           |         35 |        454 |         74 |        104 |        632 |
| usr/libs/libc/stdlib                                                          |         10 |        103 |          4 |         31 |        138 |
| usr/libs/libc/string                                                          |         23 |        302 |          1 |         73 |        376 |
| usr/libs/libc/sysdeps                                                         |         40 |        274 |         19 |         47 |        340 |
| usr/libs/libc/sysdeps/micro                                                   |         40 |        274 |         19 |         47 |        340 |
| usr/libs/libc/sysdeps/micro/generic                                           |         40 |        274 |         19 |         47 |        340 |
| usr/libs/libc/time                                                            |          9 |        141 |          5 |         29 |        175 |
| usr/srv                                                                       |          4 |         60 |          2 |         12 |         74 |
| usr/srv/init                                                                  |          3 |         58 |          2 |         12 |         72 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                      | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/christian/src/micro/Makefile                                            | Makefile         |          2 |          0 |          1 |          3 |
| /home/christian/src/micro/README.md                                           | Markdown         |         28 |          0 |          7 |         35 |
| /home/christian/src/micro/boot/Makefile                                       | Makefile         |         11 |          0 |          2 |         13 |
| /home/christian/src/micro/boot/stage1/Makefile                                | Makefile         |         15 |          0 |          5 |         20 |
| /home/christian/src/micro/boot/stage1/bootsect.S                              | GAS/AT&T x86/x64 |        107 |          7 |         36 |        150 |
| /home/christian/src/micro/boot/stage1/linker.ld                               | LinkerScript     |         11 |          0 |          1 |         12 |
| /home/christian/src/micro/boot/stage2/Makefile                                | Makefile         |         16 |          0 |          7 |         23 |
| /home/christian/src/micro/boot/stage2/entry.c                                 | C                |          5 |          0 |          0 |          5 |
| /home/christian/src/micro/boot/stage2/linker.ld                               | LinkerScript     |         10 |          0 |          1 |         11 |
| /home/christian/src/micro/boot/tools/Makefile                                 | Makefile         |          7 |          0 |          2 |          9 |
| /home/christian/src/micro/boot/tools/mkimage.c                                | C                |         29 |          2 |         11 |         42 |
| /home/christian/src/micro/build/build-emu-disk.sh                             | Shell Script     |          8 |          2 |          1 |         11 |
| /home/christian/src/micro/build/build-hdd.sh                                  | Shell Script     |         19 |          4 |         10 |         33 |
