Date : 2021-09-21 21:41:05
Directory : /home/christian/src/micro
Total : 384 files,  11996 codes, 490 comments, 2921 blanks, all 15407 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/christian/src/micro/build/build-initrd.sh                               | Shell Script     |          1 |          1 |          1 |          3 |
| /home/christian/src/micro/build/build-limine.sh                               | Shell Script     |         25 |          0 |          3 |         28 |
| /home/christian/src/micro/build/burn-usb.sh                                   | Shell Script     |          1 |          0 |          1 |          2 |
| /home/christian/src/micro/build/configure.sh                                  | Shell Script     |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/build/imgmnt/limine.cfg                             | Properties       |          7 |          0 |          2 |          9 |
| /home/christian/src/micro/build/limine.cfg                                    | Properties       |         15 |          0 |          1 |         16 |
| /home/christian/src/micro/build/mkcross.sh                                    | Shell Script     |          1 |          0 |          0 |          1 |
| /home/christian/src/micro/build/uefi-hdd.sh                                   | Shell Script     |         13 |          0 |          0 |         13 |
| /home/christian/src/micro/build/uefi.sh                                       | Shell Script     |         13 |          0 |          0 |         13 |
| /home/christian/src/micro/kernel/Makefile                                     | Makefile         |         30 |          0 |         12 |         42 |
| /home/christian/src/micro/kernel/arch/amd64/amd64.mk                          | Makefile         |         21 |          0 |          2 |         23 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/amd64.S                     | GAS/AT&T x86/x64 |         19 |          9 |          8 |         36 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/ap_start.S                  | GAS/AT&T x86/x64 |         80 |          5 |         29 |        114 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/cmos.c                      | C                |        107 |          4 |         33 |        144 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/context.S                   | GAS/AT&T x86/x64 |         29 |          5 |          8 |         42 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/cpu.c                       | C                |         27 |          0 |          6 |         33 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/entry.c                     | C                |        132 |          3 |         28 |        163 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/except.c                    | C                |        201 |          1 |         38 |        240 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/fpu.c                       | C                |          8 |          1 |          2 |         11 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/gdt.c                       | C                |         47 |          0 |         12 |         59 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/idt.c                       | C                |        113 |          0 |         14 |        127 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/intr_asm.S                  | GAS/AT&T x86/x64 |        134 |          3 |         19 |        156 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/ioapic.c                    | C                |         61 |          2 |         15 |         78 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/lapic.c                     | C                |         70 |          4 |         16 |         90 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/main.c                      | C                |         68 |         10 |         19 |         97 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/mmu.c                       | C                |        335 |         13 |         90 |        438 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/panic.c                     | C                |         13 |          0 |          2 |         15 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/pic.c                       | C                |         37 |          0 |         13 |         50 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/simd.S                      | GAS/AT&T x86/x64 |         23 |          0 |          5 |         28 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/smp.c                       | C                |         75 |          3 |         24 |        102 |
| /home/christian/src/micro/kernel/arch/amd64/amd64/timer.c                     | C                |         51 |          0 |         15 |         66 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/boot.h               | C++              |        122 |          0 |         31 |        153 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/cmos.h               | C++              |         13 |          0 |          3 |         16 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/cpu.h                | C++              |         36 |          1 |         11 |         48 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/cpu_func.h           | C++              |         83 |          2 |         20 |        105 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/descs.h              | C++              |         71 |          7 |         11 |         89 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/except.h             | C++              |          4 |          0 |          4 |          8 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/fpu.h                | C++              |          4 |          0 |          3 |          7 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/intr_stubs.h         | C++              |         52 |          1 |          4 |         57 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/ioapic.h             | C++              |          4 |          0 |          3 |          7 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/lapic.h              | C++              |         22 |          1 |          9 |         32 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/mmu.h                | C++              |         35 |          1 |         13 |         49 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/mmu_defs.h           | C++              |         21 |          0 |          8 |         29 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/panic.h              | C++              |          2 |          0 |          1 |          3 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/pic.h                | C++              |          3 |          0 |          2 |          5 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/pio.h                | C++              |         33 |          0 |          7 |         40 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/reg.h                | C++              |         25 |          0 |          2 |         27 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/smp.h                | C++              |          2 |          0 |          2 |          4 |
| /home/christian/src/micro/kernel/arch/amd64/include/arch/timer.h              | C++              |          7 |          0 |          4 |         11 |
| /home/christian/src/micro/kernel/dev/Makefile                                 | Makefile         |          2 |          0 |          0 |          2 |
| /home/christian/src/micro/kernel/dev/ahci/Makefile                            | Makefile         |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/dev/ahci/ahci.c                              | C                |        253 |          4 |         75 |        332 |
| /home/christian/src/micro/kernel/dev/ahci/ahci_defs.h                         | C++              |        218 |          5 |         64 |        287 |
| /home/christian/src/micro/kernel/dev/ext2/Makefile                            | Makefile         |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/dev/ext2/ext2.c                              | C                |        471 |         53 |        148 |        672 |
| /home/christian/src/micro/kernel/dev/ext2/ext2.h                              | C++              |        143 |          0 |         22 |        165 |
| /home/christian/src/micro/kernel/dev/fat/Makefile                             | Makefile         |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/dev/fat/fat.c                                | C                |        492 |         16 |        152 |        660 |
| /home/christian/src/micro/kernel/dev/fat/fat.h                                | C++              |         85 |          3 |         13 |        101 |
| /home/christian/src/micro/kernel/dev/linker.ld                                | LinkerScript     |         21 |          0 |          1 |         22 |
| /home/christian/src/micro/kernel/dev/module.mk                                | Makefile         |         14 |          0 |          6 |         20 |
| /home/christian/src/micro/kernel/dev/test/Makefile                            | Makefile         |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/dev/test/test.c                              | C                |         16 |          0 |          3 |         19 |
| /home/christian/src/micro/kernel/include/micro/acpi.h                         | C++              |          4 |          0 |          2 |          6 |
| /home/christian/src/micro/kernel/include/micro/acpi_defs.h                    | C++              |         83 |          1 |         13 |         97 |
| /home/christian/src/micro/kernel/include/micro/binfmt.h                       | C++              |          5 |          0 |          3 |          8 |
| /home/christian/src/micro/kernel/include/micro/debug.h                        | C++              |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/include/micro/dev.h                          | C++              |          2 |          0 |          1 |          3 |
| /home/christian/src/micro/kernel/include/micro/devfs.h                        | C++              |          4 |          0 |          2 |          6 |
| /home/christian/src/micro/kernel/include/micro/elf.h                          | C++              |         83 |          4 |         13 |        100 |
| /home/christian/src/micro/kernel/include/micro/fbdev.h                        | C++              |         15 |          0 |          5 |         20 |
| /home/christian/src/micro/kernel/include/micro/heap.h                         | C++              |          6 |          0 |          2 |          8 |
| /home/christian/src/micro/kernel/include/micro/init.h                         | C++              |          8 |          0 |          3 |         11 |
| /home/christian/src/micro/kernel/include/micro/ksym.h                         | C++              |          3 |          0 |          2 |          5 |
| /home/christian/src/micro/kernel/include/micro/list.h                         | C++              |         23 |          0 |          5 |         28 |
| /home/christian/src/micro/kernel/include/micro/lock.h                         | C++              |          8 |          0 |          6 |         14 |
| /home/christian/src/micro/kernel/include/micro/module.h                       | C++              |         17 |          0 |          5 |         22 |
| /home/christian/src/micro/kernel/include/micro/pci.h                          | C++              |         21 |          0 |          6 |         27 |
| /home/christian/src/micro/kernel/include/micro/pci_ids.h                      | C++              |          4 |          0 |          3 |          7 |
| /home/christian/src/micro/kernel/include/micro/platform.h                     | C++              |          6 |          0 |          1 |          7 |
| /home/christian/src/micro/kernel/include/micro/ps2.h                          | C++              |          5 |          0 |          3 |          8 |
| /home/christian/src/micro/kernel/include/micro/ptrace.h                       | C++              |          8 |          0 |          1 |          9 |
| /home/christian/src/micro/kernel/include/micro/ringbuf.h                      | C++              |         15 |          0 |          4 |         19 |
| /home/christian/src/micro/kernel/include/micro/sched.h                        | C++              |         11 |          0 |          3 |         14 |
| /home/christian/src/micro/kernel/include/micro/stdlib.h                       | C++              |        113 |          3 |         28 |        144 |
| /home/christian/src/micro/kernel/include/micro/sys.h                          | C++              |         50 |          2 |          9 |         61 |
| /home/christian/src/micro/kernel/include/micro/task.h                         | C++              |         34 |          1 |         17 |         52 |
| /home/christian/src/micro/kernel/include/micro/thread.h                       | C++              |         22 |          0 |          6 |         28 |
| /home/christian/src/micro/kernel/include/micro/tree.h                         | C++              |          9 |          0 |          3 |         12 |
| /home/christian/src/micro/kernel/include/micro/tty.h                          | C++              |          9 |          0 |          3 |         12 |
| /home/christian/src/micro/kernel/include/micro/types.h                        | C++              |         41 |          0 |         11 |         52 |
| /home/christian/src/micro/kernel/include/micro/vfs.h                          | C++              |         87 |          2 |         24 |        113 |
| /home/christian/src/micro/kernel/include/micro/vga.h                          | C++              |         25 |          0 |          3 |         28 |
| /home/christian/src/micro/kernel/include/uapi/micro/errno.h                   | C++              |         21 |          0 |          1 |         22 |
| /home/christian/src/micro/kernel/include/uapi/micro/fb.h                      | C++              |          8 |          0 |          2 |         10 |
| /home/christian/src/micro/kernel/include/uapi/micro/fcntl.h                   | C++              |          9 |          0 |          2 |         11 |
| /home/christian/src/micro/kernel/include/uapi/micro/fs.h                      | C++              |         12 |          1 |          3 |         16 |
| /home/christian/src/micro/kernel/include/uapi/micro/ioctls.h                  | C++              |          6 |          0 |          1 |          7 |
| /home/christian/src/micro/kernel/include/uapi/micro/mman.h                    | C++              |          9 |          0 |          3 |         12 |
| /home/christian/src/micro/kernel/include/uapi/micro/signal.h                  | C++              |         31 |          0 |          1 |         32 |
| /home/christian/src/micro/kernel/include/uapi/micro/termios.h                 | C++              |         82 |          6 |          9 |         97 |
| /home/christian/src/micro/kernel/include/uapi/micro/time.h                    | C++              |         13 |          0 |          3 |         16 |
| /home/christian/src/micro/kernel/include/uapi/micro/user.h                    | C++              |         30 |          0 |          1 |         31 |
| /home/christian/src/micro/kernel/include/uapi/micro/wait.h                    | C++              |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/kernel/kern/acpi.c                                  | C                |         41 |          0 |          7 |         48 |
| /home/christian/src/micro/kernel/kern/binfmt.c                                | C                |         88 |         10 |         32 |        130 |
| /home/christian/src/micro/kernel/kern/debug/kasan.c                           | C                |         43 |          0 |         28 |         71 |
| /home/christian/src/micro/kernel/kern/debug/serial.c                          | C                |         58 |         10 |         19 |         87 |
| /home/christian/src/micro/kernel/kern/debug/ubsan.c                           | C                |        158 |          3 |         36 |        197 |
| /home/christian/src/micro/kernel/kern/dev.c                                   | C                |         21 |          0 |          5 |         26 |
| /home/christian/src/micro/kernel/kern/exec.c                                  | C                |         40 |          1 |         10 |         51 |
| /home/christian/src/micro/kernel/kern/exit.c                                  | C                |         20 |          1 |          9 |         30 |
| /home/christian/src/micro/kernel/kern/fbdev.c                                 | C                |         75 |          0 |         17 |         92 |
| /home/christian/src/micro/kernel/kern/fork.c                                  | C                |         13 |          0 |          5 |         18 |
| /home/christian/src/micro/kernel/kern/fs/devfs.c                              | C                |         44 |          0 |         11 |         55 |
| /home/christian/src/micro/kernel/kern/fs/fcntl.c                              | C                |         24 |          0 |          7 |         31 |
| /home/christian/src/micro/kernel/kern/fs/ioctl.c                              | C                |         10 |          0 |          4 |         14 |
| /home/christian/src/micro/kernel/kern/fs/mount.c                              | C                |         17 |          1 |          4 |         22 |
| /home/christian/src/micro/kernel/kern/fs/open.c                               | C                |         72 |          5 |         27 |        104 |
| /home/christian/src/micro/kernel/kern/fs/readdir.c                            | C                |         11 |          0 |          4 |         15 |
| /home/christian/src/micro/kernel/kern/fs/readwr.c                             | C                |         58 |          3 |         21 |         82 |
| /home/christian/src/micro/kernel/kern/fs/vfs.c                                | C                |        317 |         18 |         84 |        419 |
| /home/christian/src/micro/kernel/kern/heap.c                                  | C                |        129 |         11 |         29 |        169 |
| /home/christian/src/micro/kernel/kern/init.c                                  | C                |        134 |          5 |         38 |        177 |
| /home/christian/src/micro/kernel/kern/kern.mk                                 | Makefile         |         38 |          0 |          0 |         38 |
| /home/christian/src/micro/kernel/kern/ksym.c                                  | C                |         43 |          3 |          4 |         50 |
| /home/christian/src/micro/kernel/kern/list.c                                  | C                |         82 |         12 |         25 |        119 |
| /home/christian/src/micro/kernel/kern/mm/mmap.c                               | C                |         56 |          5 |         14 |         75 |
| /home/christian/src/micro/kernel/kern/module.c                                | C                |        128 |          9 |         33 |        170 |
| /home/christian/src/micro/kernel/kern/pci.c                                   | C                |        139 |          1 |         21 |        161 |
| /home/christian/src/micro/kernel/kern/ps2.c                                   | C                |         44 |          5 |         13 |         62 |
| /home/christian/src/micro/kernel/kern/ptrace.c                                | C                |         38 |          0 |          7 |         45 |
| /home/christian/src/micro/kernel/kern/ringbuf.c                               | C                |         62 |          3 |         13 |         78 |
| /home/christian/src/micro/kernel/kern/sched.c                                 | C                |        114 |          1 |         27 |        142 |
| /home/christian/src/micro/kernel/kern/signal.c                                | C                |         11 |          1 |          4 |         16 |
| /home/christian/src/micro/kernel/kern/stdlib.c                                | C                |        140 |          0 |         41 |        181 |
| /home/christian/src/micro/kernel/kern/sys.c                                   | C                |         76 |          0 |         11 |         87 |
| /home/christian/src/micro/kernel/kern/task.c                                  | C                |        140 |          7 |         45 |        192 |
| /home/christian/src/micro/kernel/kern/thread.c                                | C                |        102 |          7 |         21 |        130 |
| /home/christian/src/micro/kernel/kern/time.c                                  | C                |          1 |          1 |          2 |          4 |
| /home/christian/src/micro/kernel/kern/tree.c                                  | C                |         14 |          0 |          3 |         17 |
| /home/christian/src/micro/kernel/kern/tty.c                                   | C                |        124 |          4 |         45 |        173 |
| /home/christian/src/micro/kernel/kern/vga.c                                   | C                |        141 |          0 |         34 |        175 |
| /home/christian/src/micro/kernel/kernel.ld                                    | LinkerScript     |         42 |          0 |         14 |         56 |
| /home/christian/src/micro/kernel/tools/mkinitrd.c                             | C                |         34 |          3 |         11 |         48 |
| /home/christian/src/micro/share/subdir.mk                                     | Makefile         |          5 |          0 |          3 |          8 |
| /home/christian/src/micro/toolchain/binutils.patch                            | Diff             |        133 |          2 |          3 |        138 |
| /home/christian/src/micro/toolchain/gcc.patch                                 | Diff             |        115 |          3 |          5 |        123 |
| /home/christian/src/micro/toolchain/toolchain.sh                              | Shell Script     |          1 |          1 |          1 |          3 |
| /home/christian/src/micro/usr/Makefile                                        | Makefile         |          2 |          0 |          0 |          2 |
| /home/christian/src/micro/usr/apps/Makefile                                   | Makefile         |          2 |          0 |          0 |          2 |
| /home/christian/src/micro/usr/apps/binutils/Makefile                          | Makefile         |          2 |          0 |          0 |          2 |
| /home/christian/src/micro/usr/apps/binutils/ld/main.c                         | C                |          3 |          0 |          1 |          4 |
| /home/christian/src/micro/usr/apps/coreutils/Makefile                         | Makefile         |         28 |          0 |          7 |         35 |
| /home/christian/src/micro/usr/apps/coreutils/cat.c                            | C                |         29 |         21 |          9 |         59 |
| /home/christian/src/micro/usr/apps/coreutils/date.c                           | C                |          7 |          0 |          3 |         10 |
| /home/christian/src/micro/usr/apps/coreutils/du.c                             | C                |         33 |          0 |          8 |         41 |
| /home/christian/src/micro/usr/apps/coreutils/insmod.c                         | C                |         29 |          0 |          7 |         36 |
| /home/christian/src/micro/usr/apps/coreutils/linker.ld                        | LinkerScript     |         23 |          0 |          2 |         25 |
| /home/christian/src/micro/usr/apps/coreutils/ls.c                             | C                |         20 |          0 |          5 |         25 |
| /home/christian/src/micro/usr/apps/coreutils/mkdir.c                          | C                |         19 |          0 |          3 |         22 |
| /home/christian/src/micro/usr/apps/coreutils/mount.c                          | C                |         16 |          0 |          3 |         19 |
| /home/christian/src/micro/usr/apps/coreutils/pwd.c                            | C                |         13 |          0 |          2 |         15 |
| /home/christian/src/micro/usr/apps/coreutils/rmmod.c                          | C                |         19 |          0 |          4 |         23 |
| /home/christian/src/micro/usr/apps/coreutils/touch.c                          | C                |         19 |          0 |          4 |         23 |
| /home/christian/src/micro/usr/apps/coreutils/umount.c                         | C                |         16 |          0 |          3 |         19 |
| /home/christian/src/micro/usr/apps/db/Makefile                                | Makefile         |         20 |          0 |          7 |         27 |
| /home/christian/src/micro/usr/apps/db/db.c                                    | C                |         31 |          0 |          8 |         39 |
| /home/christian/src/micro/usr/apps/ed/Makefile                                | Makefile         |         20 |          0 |          7 |         27 |
| /home/christian/src/micro/usr/apps/ed/ed.c                                    | C                |         82 |          0 |         26 |        108 |
| /home/christian/src/micro/usr/apps/sh/Makefile                                | Makefile         |         20 |          0 |          7 |         27 |
| /home/christian/src/micro/usr/apps/sh/linker.ld                               | LinkerScript     |         23 |          0 |          2 |         25 |
| /home/christian/src/micro/usr/apps/sh/sh.c                                    | C                |        103 |          1 |         21 |        125 |
| /home/christian/src/micro/usr/apps/term/Makefile                              | Makefile         |         20 |          0 |          7 |         27 |
| /home/christian/src/micro/usr/apps/term/term.c                                | C                |        192 |          1 |         44 |        237 |
| /home/christian/src/micro/usr/apps/test/Makefile                              | Makefile         |         19 |          0 |          8 |         27 |
| /home/christian/src/micro/usr/apps/test/test.c                                | C                |          6 |          0 |          1 |          7 |
| /home/christian/src/micro/usr/apps/vgaterm/Makefile                           | Makefile         |         20 |          0 |          7 |         27 |
| /home/christian/src/micro/usr/apps/vgaterm/term.c                             | C                |         51 |          0 |          6 |         57 |
| /home/christian/src/micro/usr/libs/Makefile                                   | Makefile         |          2 |          0 |          0 |          2 |
| /home/christian/src/micro/usr/libs/libc/Makefile                              | Makefile         |        181 |          2 |         12 |        195 |
| /home/christian/src/micro/usr/libs/libc/README.md                             | Markdown         |         10 |          0 |          3 |         13 |
| /home/christian/src/micro/usr/libs/libc/assert/assert.c                       | C                |          8 |          0 |          1 |          9 |
| /home/christian/src/micro/usr/libs/libc/ctype/isalnum.c                       | C                |          7 |          0 |          1 |          8 |
| /home/christian/src/micro/usr/libs/libc/ctype/isalpha.c                       | C                |          6 |          0 |          1 |          7 |
| /home/christian/src/micro/usr/libs/libc/ctype/isdigit.c                       | C                |          5 |          0 |          1 |          6 |
| /home/christian/src/micro/usr/libs/libc/ctype/isgraph.c                       | C                |          5 |          0 |          1 |          6 |
| /home/christian/src/micro/usr/libs/libc/ctype/isprint.c                       | C                |          5 |          0 |          1 |          6 |
| /home/christian/src/micro/usr/libs/libc/ctype/ispunct.c                       | C                |          8 |          0 |          1 |          9 |
| /home/christian/src/micro/usr/libs/libc/ctype/isspace.c                       | C                |          7 |          0 |          1 |          8 |
| /home/christian/src/micro/usr/libs/libc/ctype/isxdigit.c                      | C                |          7 |          0 |          1 |          8 |
| /home/christian/src/micro/usr/libs/libc/ctype/tolower.c                       | C                |          6 |          0 |          1 |          7 |
| /home/christian/src/micro/usr/libs/libc/ctype/toupper.c                       | C                |          6 |          0 |          1 |          7 |
| /home/christian/src/micro/usr/libs/libc/elf/Makefile                          | Makefile         |         19 |          0 |          8 |         27 |
| /home/christian/src/micro/usr/libs/libc/elf/ld.c                              | C                |         13 |          1 |          6 |         20 |
| /home/christian/src/micro/usr/libs/libc/include/assert.h                      | C++              |          3 |          0 |          3 |          6 |
